transactionType,transactionStatus,transactionScac,transactionCompanyName,transactionLicenseNo,transactionStarted,transactionChanged,transactionStage,chassisDamaged,containerDamaged,notes,containerAccNbr,chassisAccNbr,transactionNextStage,tStateTime,unitNbr,length,height,facility,tranNbr,category,chassisNbr,dwell,ecInTime,isHazardous,hazDoc,lastMove,lineName,lineCode,position,timeCreated,timeIn,timeOut,tState,type,typeArchISO,vgmWeight,vState,gkey,bookingNo,chassisType,inboundCarrier,outboundCarrier,pod,freightKind,weight,daysOnTerminal,hazards/0/code,hazards/0/description,hazards/0/hazardUnNumber,hazards/1/code,hazards/1/description,hazards/1/hazardUnNumber
Deliver Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-19T06:20:05.176000,2019-07-19T06:32:30.645000,Outgate,False,False,,,,,2019-07-19T06:32:30,,20',"4'0""",VIG,892506,Storage,APMZ233839,False,,False,False,2019-07-19T06:32:30.905000,,HRC,T-70991543003853-2,2019-07-18T06:58:25,2019-07-18T07:33:35,2019-07-19T06:32:30,Departed,CH,CZ20,,Departed,1299385653,,,T-GEN_TRUCK,T-70991543003853  (GTYQ),,,6799,2,,,,,,
Deliver Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-18T13:33:12.658000,2019-07-18T13:35:34.025000,Outgate,True,False,,,,,2019-07-18T13:35:36,,40',"4'0""",PMT,781687,Storage,DCSZ403907,False,,False,False,2019-07-18T13:35:36.537000,,HRC,T-UN11316,2019-07-18T12:40:02,2019-07-18T12:43:19,2019-07-18T13:35:36,Departed,CH,CH40,,Departed,4771931223,,,T-GEN_TRUCK,T-UN11316  (GTYQ),,,6601,1,,,,,,
Receive Export,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-18T12:40:02.084000,2019-07-18T12:40:31.241000,Outgate,True,False,INSP:GTYQ LEO C 7/19,,,,2019-07-20T00:12:20.264000,TCNU1840454,40',"9'6""",PMT,781642,Export,DCSZ403907,False,,False,False,2019-07-20T00:12:20.264000,,MSK,V-LEOC-929E-340508,2019-07-11T17:00:09,2019-07-18T12:43:19,,Loaded,G1,496DR,61721,Active,4765893933,582714093,,T-UN11316  (GTYQ),V-LEOC-929E  (MSC),ANR,FCL,61721,3,,,,,,
Receive Export,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-17T12:34:22.708000,2019-07-17T13:03:15.614000,Outgate,False,False,,,,,2019-07-17T12:53:45,TCLU1648336,40',"9'6""",NIT,3192647,Export,DCSZ705867,False,,False,False,2019-07-17T15:53:55.329000,,ONE,Y-NIT-12A-062-4-3,2019-07-17T12:34:22,2019-07-17T12:53:45,,Yard,G1,496DR,26200,Active,5853760920,RICVT5734900,,T-UN11316  (GTYQ),V-YUTP-067W  (YML),PUS,FCL,26200,4,,,,,,
Receive Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-17T10:57:40.767000,2019-07-17T10:57:40.964000,Ingate,False,False,,,,,2019-07-17T11:40:05,,40',"4'0""",PCY,32741,Storage,HDMZ403831,False,,False,False,2019-07-17T11:40:05.893000,,HRC,T-19312PZ,2019-07-17T10:57:40,2019-07-17T10:57:40,2019-07-17T11:40:05,Departed,CH,CH40,,Departed,4770625646,,,T-UN11316  (GTYQ),T-19312PZ  (BIIL),,,6499,1,,,,,,
Receive Empty,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-17T10:29:32.588000,2019-07-17T10:29:33.037000,Ingate,False,False,,,,,2019-07-17T10:53:26,CAIU7260737,40',"9'6""",PCY,32645,Storage,HDMZ403831,False,,False,False,2019-07-17T10:53:26.815000,,CMA,T-2614538,2019-07-17T10:29:32,2019-07-17T10:29:32,2019-07-17T10:53:26,Departed,G1,496DR,,Departed,4770563152,,CH40,T-UN11316  (GTYQ),T-2614538  (XPDR),,MTY,8400,1,,,,,,
Deliver Import,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-17T07:26:03.382000,2019-07-17T08:07:32.578000,Outgate,False,False,,,,,2019-07-17T08:07:32,TLLU5710038,40',"9'6""",NIT,3191420,Import,FVXZ176822,False,,False,False,2019-07-17T08:07:32.975000,,ONE,T-UN11316-2,2019-06-07T07:46:21,2019-07-15T14:22:15,2019-07-17T08:07:32,Departed,G1,496DR,41950,Departed,5772232453,,CH40,V-MOLC-066W  (ONE),T-UN11316  (GTYQ),NIT,FCL,41950,3,,,,,,
Receive Export,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-17T07:26:01.722000,2019-07-17T08:07:32.085000,Outgate,False,False,,,,,2019-07-17T07:39:23,TGHU7516315,40',"9'6""",NIT,3191419,Export,FVXZ176822,False,,False,False,2019-07-17T11:09:42.165000,,MSK,Y-NIT-07A-058-7-4,2019-07-09T15:20:12,2019-07-17T07:39:23,,Yard,G1,496DR,66101,Active,5837296852,583132396,,T-UN11316  (GTYQ),V-SEMA-929E  (MSK),LCH,FCL,66101,4,,,,,,
Deliver Empty,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-16T15:07:17.801000,2019-07-16T15:07:18.128000,Outgate,False,False,,,,,2019-07-16T15:07:19,CMAU5864582,40',"9'6""",PCY,31153,Storage,TRLZ404999,False,,False,False,2019-07-16T15:07:19.548000,,CMA,T-UN11316,2019-07-16T14:58:08,2019-07-16T14:58:08,2019-07-16T15:07:19,Departed,G1,496DR,,Departed,4769816189,NAM3539365,CH40,T-MC4328  (MBYP),T-UN11316  (GTYQ),,MTY,8400,1,,,,,,
Receive Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-16T05:38:45.945000,2019-07-16T05:38:46.366000,Ingate,False,False,,,,,2019-07-16T05:38:46,,20',"4'0""",PCY,29366,Storage,TLXZ266515,False,,False,False,2019-07-16T05:38:46.373000,,HRC,Y-PCY,2019-07-16T05:38:46,2019-07-16T05:38:46,,Yard,CH,CH20,,Active,4769096998,,,T-UN11316  (GTYQ),U-GEN_CARRIER,,,6601,5,,,,,,
